whois_regDate,whois_expDate,whois_updatedDate,dot_count,url_len,digit_count,special_count,hyphen_count,double_slash,single_slash,at_the_rate,protocol,protocol_count
434,295,290,4,58,6,0,2,0,5,0,0,0
6828,111,280,2,52,0,3,1,0,3,0,0,0
7638,31,1065,1,46,18,0,0,0,5,0,0,0
7638,31,1065,2,35,0,0,0,0,3,0,0,0
-1,-1,-1,5,71,0,0,0,0,5,0,0,0
-1,-1,-1,5,70,0,0,0,0,5,0,0,0
8700,64,332,3,94,12,18,0,0,2,0,0,0
-1,-1,-1,7,173,43,6,3,0,4,0,0,0
9012,2309,983,2,79,3,2,0,0,2,0,0,0
7417,2444,616,1,19,1,0,0,0,1,0,0,0
4833,279,114,3,35,2,0,0,0,2,0,0,0
4178,204,273,3,41,5,2,0,0,1,0,0,0
2142,48,-1,9,330,136,6,3,0,4,0,0,0
4356,26,345,1,124,56,9,0,0,5,0,0,0
6342,231,-1,4,46,3,1,0,0,1,0,0,0
2142,48,-1,9,326,134,5,3,0,4,0,0,0
-1,-1,-1,3,188,87,6,1,0,3,0,0,0
8700,64,332,3,58,12,9,0,0,2,0,0,0
-1,-1,-1,3,50,0,1,1,0,2,0,0,0
-1,-1,-1,3,192,87,7,1,0,3,0,0,0
4741,6,358,4,55,0,0,1,0,4,0,0,0
1754,71,310,2,32,0,0,0,0,2,0,0,0
2142,48,-1,9,330,134,6,3,0,4,0,0,0
4307,102,-1,6,237,117,2,1,0,4,0,0,0
4307,102,-1,6,237,125,2,1,0,4,0,0,0
4307,102,-1,6,211,103,2,1,0,4,0,0,0
6342,231,-1,4,48,5,0,0,0,2,0,0,0
3487,529,263,11,230,79,6,3,0,3,0,0,0
4307,102,-1,5,60,14,0,1,0,3,0,0,0
4307,102,-1,5,67,14,0,1,0,4,0,0,0
4307,102,-1,5,93,36,0,1,0,4,0,0,0
4307,102,-1,6,65,15,0,1,0,3,0,0,0
4307,102,-1,6,237,109,2,1,0,4,0,0,0
-1,-1,-1,6,88,0,5,1,0,4,0,0,0
-1,-1,-1,6,89,0,5,1,0,4,0,0,0
4620,127,272,11,115,31,0,0,0,3,0,0,0
4620,127,272,11,115,28,0,0,0,3,0,0,0
8868,261,189,7,78,0,3,2,0,4,0,0,0
-1,-1,-1,6,85,0,4,1,0,4,0,0,0
373,356,16,4,65,12,9,0,0,2,0,0,0
6186,1118,387,3,61,12,9,0,0,2,0,0,0
1276,184,107,3,58,12,9,0,0,2,0,0,0
-1,-1,-1,6,84,0,4,1,0,4,0,0,0
4511,236,113,7,78,3,0,2,0,6,0,0,0
6764,1321,1830,3,22,0,0,0,0,1,0,0,0
6320,253,707,3,33,0,0,0,0,1,0,0,0
6320,253,707,2,38,0,0,0,1,4,0,0,0
6105,103,958,8,65,6,0,2,0,1,0,0,0
4357,25,303,3,50,2,0,0,0,5,0,0,0
4357,25,303,2,40,2,0,0,0,5,0,0,0
-1,-1,-1,3,73,0,1,1,0,6,0,0,0
-1,-1,-1,3,85,1,2,0,0,6,0,0,0
-1,-1,-1,3,70,1,0,0,0,6,0,0,0
645,84,288,3,42,0,0,1,0,2,0,0,0
4538,574,1615,2,45,0,0,1,0,3,0,0,0
8039,1091,64,2,20,0,0,1,0,2,0,0,0
-1,-1,-1,1,25,0,0,1,0,1,0,0,0
8700,64,332,3,82,12,15,0,0,2,0,0,0
-1,-1,-1,1,66,19,0,0,0,4,0,0,0
-1,-1,-1,3,46,0,0,0,0,3,0,0,0
-1,-1,-1,1,31,0,0,0,0,1,0,0,0
3645,371,23,2,32,0,0,0,0,1,0,0,0
-1,-1,76,4,46,0,0,0,0,4,0,0,0
5115,3650,32,1,13,0,0,0,0,1,0,0,0
6342,231,-1,10,146,88,2,0,0,1,0,0,0
4620,127,272,12,124,32,0,0,0,3,0,0,0
3942,440,288,1,34,0,0,1,0,2,0,0,0
8278,122,257,2,63,0,0,2,0,5,0,0,0
1232,959,135,2,52,0,0,1,0,4,0,0,0
-1,-1,-1,5,56,0,1,0,0,4,0,0,0
-1,-1,-1,3,47,1,0,1,0,3,0,0,0
5041,295,69,4,38,2,0,2,0,1,0,0,0
1807,383,687,2,21,0,0,0,0,1,0,0,0
3759,258,69,2,141,0,4,5,0,8,0,0,0
-1,-1,-1,3,36,0,0,0,0,2,0,0,0
7417,2444,616,1,19,2,0,0,0,1,0,0,0
63,301,61,3,55,3,0,0,0,4,0,0,0
63,301,61,2,34,14,0,0,0,1,0,0,0
5524,319,55,4,42,0,0,0,0,2,0,0,0
1754,71,310,2,33,0,0,0,1,3,0,0,0
-1,-1,184,3,98,9,1,2,0,7,0,0,0
-1,-1,-1,4,80,0,0,2,0,6,0,0,0
-1,-1,-1,4,33,0,0,0,0,2,0,0,1
3867,150,215,4,66,4,0,2,0,5,0,0,0
4620,127,272,11,115,28,0,0,0,3,0,0,0
-1,-1,-1,2,86,0,0,2,0,7,0,0,0
9012,2309,983,2,79,3,2,0,0,2,0,0,0
7370,299,72,3,72,12,12,1,0,2,0,0,0
-1,-1,-1,2,46,0,1,1,0,3,0,0,0
-1,-1,-1,3,33,0,0,0,0,1,0,0,0
5539,-61,15,1,45,1,0,1,0,4,0,0,0
-1,-1,-1,5,177,4,17,1,0,5,0,0,1
4620,127,272,11,115,30,0,0,0,3,0,0,0
1786,39,324,3,109,3,7,2,0,3,0,0,0
4632,114,244,1,24,0,0,0,0,3,0,0,0
-1,-1,-1,11,119,0,0,0,0,3,0,0,0
1342,117,-1,8,136,6,0,0,0,1,0,0,0
5933,275,180,5,45,0,0,1,0,4,0,0,0
-1,-1,-1,7,142,21,0,6,0,3,0,0,0
3850,167,196,3,40,0,0,0,0,2,0,0,0
-1,-1,-1,3,43,1,0,0,0,4,0,0,0
-1,-1,-1,1,25,0,0,0,0,3,0,0,0
4050,332,17,3,150,38,6,2,0,5,0,0,0
4620,127,272,11,115,28,0,0,0,3,0,0,0
4620,127,272,11,81,11,0,0,0,1,0,0,0
4620,127,272,11,115,29,0,0,0,3,0,0,0
4620,127,272,11,82,11,0,0,0,2,0,0,0
4620,127,272,11,115,31,0,0,0,3,0,0,0
3791,226,139,2,35,0,0,0,0,2,0,0,0
-1,-1,-1,3,31,0,1,1,0,1,0,0,0
7167,137,228,2,33,0,0,0,0,3,0,0,0
8098,667,686,3,41,0,0,0,0,2,0,0,0
-1,-1,-1,5,83,8,7,0,0,1,0,0,0
6847,483,-1,5,71,1,0,1,0,6,0,0,1
4994,118,262,14,174,47,0,1,0,3,0,0,0
4994,118,262,14,173,46,0,1,0,3,0,0,0
-1,-1,-1,4,75,1,1,1,0,5,0,0,0
6609,329,42,7,73,8,6,0,0,1,0,0,0
6609,329,42,6,74,8,6,1,0,1,0,0,0
-1,-1,-1,5,246,124,1,0,0,4,0,0,0
119,245,119,4,51,0,0,1,0,2,0,0,0
-1,-1,-1,6,85,2,5,0,0,3,0,0,0
3384,267,140,3,40,0,0,0,0,3,0,0,0
4362,20,242,5,107,10,0,0,0,1,0,0,0
4994,118,262,13,164,46,0,1,0,3,0,0,0
4994,118,262,13,141,44,0,0,0,1,0,0,0
4994,118,262,14,172,45,0,1,0,3,0,0,0
4458,289,105,2,55,0,0,1,0,5,0,0,0
3787,595,262,2,54,0,1,0,1,6,0,0,0
7417,2444,616,1,19,2,0,0,0,1,0,0,0
-1,-1,-1,3,27,0,0,0,0,1,0,0,0
4458,289,105,4,73,0,0,2,0,5,0,0,0
4458,289,105,3,65,0,0,1,0,5,0,0,0
9002,127,241,3,88,1,1,0,0,2,0,0,0
9002,127,241,4,105,7,1,0,0,2,0,0,0
4458,289,105,4,76,0,0,2,0,5,0,0,0
6267,306,57,4,48,7,0,0,0,1,0,0,0
5590,253,128,1,18,0,0,0,0,2,0,0,0
-1,-1,-1,3,44,0,1,1,0,2,0,0,0
-1,-1,-1,3,40,0,1,0,0,2,0,0,0
-1,-1,-1,3,32,0,0,0,0,2,0,0,0
10283,1040,43,2,24,0,0,0,0,2,0,0,0
2519,37,357,1,34,0,0,0,0,4,0,0,0
-1,-1,-1,2,66,0,2,0,0,3,0,0,0
8289,111,252,3,37,0,0,0,0,1,0,0,0
7871,312,27,2,31,0,0,0,0,2,0,0,0
